,Tweet,target,tokenized_tweet,cleaned_tweet
34,Seea teejebni etofla litsouq moutoue'r,1,seea teejebni etofla litsouq moutoue ' r,"['seea', 'teejebni', 'etofla', 'litsouq', 'moutoue', ""'"", 'r']"
35,والله بنات بألف راجل,1,والله بنات بألف راجل,"['والله', 'بنات', 'بألف', 'راجل']"
36,الفضل يرجع لأمهم الفاضلة اللي ربتهم تربية سليمة خلتهمش يهزو الغل لبوهم كيما النساء اللي تطلق تكره اولادها بوهم اهله ....الله يحفظ البنات احنهم,1,الفضل يرجع لأمهم الفاضلة اللي ربتهم تربية سليمة خلتهمش يهزو الغل لبوهم كيما النساء اللي تطلق تكره اولادها بوهم اهله الله يحفظ البنات احنهم,"['الفضل', 'يرجع', 'لأمهم', 'الفاضلة', 'اللي', 'ربتهم', 'تربية', 'سليمة', 'خلتهمش', 'يهزو', 'الغل', 'لبوهم', 'كيما', 'النساء', 'اللي', 'تطلق', 'تكره', 'اولادها', 'بوهم', 'اهله', 'الله', 'يحفظ', 'البنات', 'احنهم']"
37,Mé watahach etGoueiiiiiR hhhhhhhhhhhhh,-1,watahach etgoueiiiiir hhhhhhhhhhhhh,"['watahach', 'etgoueiiiiir', 'hhhhhhhhhhhhh']"
39,"mamastak manahamlouch jemla, fan eando nesso weldi, mala chaear qoul qanfoud ,qamek qari",-1,mamastak manahamlouch jemla fan eando nesso weldi mala chaear qoul qanfoud qamek qari,"['mamastak', 'manahamlouch', 'jemla', 'fan', 'eando', 'nesso', 'weldi', 'mala', 'chaear', 'qoul', 'qanfoud', 'qamek', 'qari']"
40,Ya khasra walhi khalit balstik chakib,-1,ya khasra walhi khalit balstik chakib,"['ya', 'khasra', 'walhi', 'khalit', 'balstik', 'chakib']"
41,Nahaw aka lmasta maya jebo wahed amset mznha pfffffff,-1,nahaw aka lmasta maya jebo wahed amset mznha pfffffff,"['nahaw', 'aka', 'lmasta', 'maya', 'jebo', 'wahed', 'amset', 'mznha', 'pfffffff']"
42,منحط تربيه ثقافه تو قلة المسرحيين جايبينو هنكره تو تسميوه مسرحي اصلو,-1,منحط تربيه ثقافه تو قلة المسرحيين جايبينو هنكره تو تسميوه مسرحي اصلو,"['منحط', 'تربيه', 'ثقافه', 'تو', 'قلة', 'المسرحيين', 'جايبينو', 'هنكره', 'تو', 'تسميوه', 'مسرحي', 'اصلو']"
43,saha wlid,1,saha wlid,"['saha', 'wlid']"
44,اووووه قداش معيوه ماسط خامج,-1,اووووه قداش معيوه ماسط خامج,"['اوووه', 'قداش', 'معيوه', 'ماسط', 'خامج']"
45,ملا شخصية صبري تحفون برشا,1,ملا شخصية صبري تحفون برشا,"['ملا', 'شخصية', 'صبري', 'تحفون', 'برشا']"
46,لعنت الله احترمنا شويا,-1,لعنت الله احترمنا شويا,"['لعنت', 'الله', 'احترمنا', 'شويا']"
48,ونعمة الاب والله,1,ونعمة الاب والله,"['ونعمة', 'الاب', 'والله']"
49,راجل باهي تحفون زيد ضامر ويفكىرنا بالضحك الذمار الاكثر يعرف يحكي شيخ تحيفا تحفون,1,راجل باهي تحفون زيد ضامر ويفكىرنا بالضحك الذمار الاكثر يعرف يحكي شيخ تحيفا تحفون,"['راجل', 'باهي', 'تحفون', 'زيد', 'ضامر', 'ويفكىرنا', 'بالضحك', 'الذمار', 'الاكثر', 'يعرف', 'يحكي', 'شيخ', 'تحيفا', 'تحفون']"
50,نعشق الحوار التونسي,1,نعشق الحوار التونسي,"['نعشق', 'الحوار', 'التونسي']"
51,إنصاف اليحياوي تذكرنى ببرنامج التذكرة الاخيرة،يا حسرة الأحلى البرامج عملتها الوطنية تونس h وقتها 😉,1,إنصاف اليحياوي تذكرنى ببرنامج التذكرة الاخيرة يا حسرة الأحلى البرامج عملتها الوطنية تونس وقتها,"['إنصاف', 'اليحياوي', 'تذكرنى', 'ببرنامج', 'التذكرة', 'الاخيرة', 'يا', 'حسرة', 'الأحلى', 'البرامج', 'عملتها', 'الوطنية', 'تونس', 'وقتها']"
52,صوت جميل بارعة التقليد تبارك الله...,1,صوت جميل بارعة التقليد تبارك الله,"['صوت', 'جميل', 'بارعة', 'التقليد', 'تبارك', 'الله']"
53,محل وجيهة راك فنانة هلامية بلاثتك موش تونس علاش تعملش كيما سناء كويس عفوا سناء يوسف,1,محل وجيهة راك فنانة هلامية بلاثتك موش تونس علاش تعملش كيما سناء كويس عفوا سناء يوسف,"['محل', 'وجيهة', 'راك', 'فنانة', 'هلامية', 'بلاثتك', 'موش', 'تونس', 'علاش', 'تعملش', 'كيما', 'سناء', 'كويس', 'عفوا', 'سناء', 'يوسف']"
54,Yaejebni osloubou khadem ela rouhou Nchallah rappeur twansa ykounou kifou,1,yaejebni osloubou khadem ela rouhou nchallah rappeur twansa ykounou kifou,"['yaejebni', 'osloubou', 'khadem', 'ela', 'rouhou', 'nchallah', 'rappeur', 'twansa', 'ykounou', 'kifou']"
55,نحترمو برشا الراجل هاذا ايمن ايطاليا,1,نحترمو برشا الراجل هاذا ايمن ايطاليا,"['نحترمو', 'برشا', 'الراجل', 'هاذا', 'ايمن', 'ايطاليا']"
56,شاء الله ممثلة لكلام,1,شاء الله ممثلة لكلام,"['شاء', 'الله', 'ممثلة', 'لكلام']"
57,Ensen rajel behyy kamel ki haka,1,ensen rajel behyy kamel ki haka,"['ensen', 'rajel', 'behyy', 'kamel', 'ki', 'haka']"
58,أمسط منشط شفتو حياتي،,-1,أمسط منشط شفتو حياتي,"['أمسط', 'منشط', 'شفتو', 'حياتي']"
59,"Mra tounsya mohtarma brcha tbrkalah eleha,",1,mra tounsya mohtarma brcha tbrkalah eleha,"['mra', 'tounsya', 'mohtarma', 'brcha', 'tbrkalah', 'eleha']"
60,عجبتنيش الغنايه علاقة,-1,عجبتنيش الغنايه علاقة,"['عجبتنيش', 'الغنايه', 'علاقة']"
61,Yesser rzina klemha maeqoul,1,yesser rzina klemha maeqoul,"['yesser', 'rzina', 'klemha', 'maeqoul']"
63,mealem wlh bravoooooooooo karim,1,mealem wlh bravoooooooooo karim,"['mealem', 'wlh', 'bravoooooooooo', 'karim']"
64,masttt hammmm,-1,masttt hammmm,"['masttt', 'hammmm']"
65,وجيهة الجندوبي تعتبر الممثلات المتميزين حقيقتا شخصيا ملاحظتي لاعمالها الدرامية.في مسلسلات تونسية ( منامة عروسية ) وعودة المنيار ) الخ ...تبدع اتقان الدور والشخصية حقيقتا شخصيا احترم هاته الفنانة المبدعة وتحية وتقدير لذاتها وشكرا,1,وجيهة الجندوبي تعتبر الممثلات المتميزين حقيقتا شخصيا ملاحظتي لاعمالها الدرامية في مسلسلات تونسية منامة عروسية وعودة المنيار الخ تبدع اتقان الدور والشخصية حقيقتا شخصيا احترم هاته الفنانة المبدعة وتحية وتقدير لذاتها وشكرا,"['وجيهة', 'الجندوبي', 'تعتبر', 'الممثلات', 'المتميزين', 'حقيقتا', 'شخصيا', 'ملاحظتي', 'لاعمالها', 'الدرامية', 'في', 'مسلسلات', 'تونسية', 'منامة', 'عروسية', 'وعودة', 'المنيار', 'الخ', 'تبدع', 'اتقان', 'الدور', 'والشخصية', 'حقيقتا', 'شخصيا', 'احترم', 'هاته', 'الفنانة', 'المبدعة', 'وتحية', 'وتقدير', 'لذاتها', 'وشكرا']"
67,Fsedet kif zokret eid Samir,-1,fsedet kif zokret eid samir,"['fsedet', 'kif', 'zokret', 'eid', 'samir']"
68,Rawea. Mahlahoum,1,rawea mahlahoum,"['rawea', 'mahlahoum']"
69,tefeh yahki eathaqafa pfffffffff malla msoutiya qilet torbya mouch rajel,-1,tefeh yahki eathaqafa pfffffffff malla msoutiya qilet torbya mouch rajel,"['tefeh', 'yahki', 'eathaqafa', 'pfffffffff', 'malla', 'msoutiya', 'qilet', 'torbya', 'mouch', 'rajel']"
70,Mealem walid,1,mealem walid,"['mealem', 'walid']"
71,شنوة ؟؟تفووووه عليكم ملاّ تفاهات .,-1,شنوة تفووووه عليكم ملا تفاهات,"['شنوة', 'تفوووه', 'عليكم', 'ملا', 'تفاهات']"
72,احلا امين احلا كاف احلا مكي زكية يعمي راني نقدرك ههههههههه رياض النهدي,1,احلا امين احلا كاف احلا مكي زكية يعمي راني نقدرك ههههههههه رياض النهدي,"['احلا', 'امين', 'احلا', 'كاف', 'احلا', 'مكي', 'زكية', 'يعمي', 'راني', 'نقدرك', 'ههه', 'رياض', 'النهدي']"
73,Bravo yassine halqa hlouwa lila adéaék Ken rawea,1,bravo yassine halqa hlouwa lila ad ken rawea,"['bravo', 'yassine', 'halqa', 'hlouwa', 'lila', 'ad', 'ken', 'rawea']"
74,Wahda qahba 😂,-1,wahda qahba,"['wahda', 'qahba']"
75,mahleha martek El haq acheb mennek :),1,mahleha martek el haq acheb mennek,"['mahleha', 'martek', 'el', 'haq', 'acheb', 'mennek']"
76,Brabi ili ysebou wena meahom hana netfarjou zab elech etqouhib netfarej nseb alah ghaleb snasa khayba hhhhh,-1,brabi ili ysebou wena meahom hana netfarjou zab elech etqouhib netfarej nseb alah ghaleb snasa khayba hhhhh,"['brabi', 'ili', 'ysebou', 'wena', 'meahom', 'hana', 'netfarjou', 'zab', 'elech', 'etqouhib', 'netfarej', 'nseb', 'alah', 'ghaleb', 'snasa', 'khayba', 'hhhhh']"
77,يعطيه الصحة .,1,يعطيه الصحة,"['يعطيه', 'الصحة']"
78,نحبها عسل,1,نحبها عسل,"['نحبها', 'عسل']"
79,مقداد يحكي التربية الأخلاق نسي روحو آش عمل فاطمة بوساحة ملا نفاق,-1,مقداد يحكي التربية الأخلاق نسي روحو آش عمل فاطمة بوساحة ملا نفاق,"['مقداد', 'يحكي', 'التربية', 'الأخلاق', 'نسي', 'روحو', 'آش', 'عمل', 'فاطمة', 'بوساحة', 'ملا', 'نفاق']"
80,بصراحة ممصتهم,-1,بصراحة ممصتهم,"['بصراحة', 'ممصتهم']"
82,هذيكا اجمل فنانة تونسية عبر التاريخ شاءالله ديما متألقة,1,هذيكا اجمل فنانة تونسية عبر التاريخ شاءالله ديما متألقة,"['هذيكا', 'اجمل', 'فنانة', 'تونسية', 'عبر', 'التاريخ', 'شاءالله', 'ديما', 'متألقة']"
84,meallim jalloul,1,meallim jalloul,"['meallim', 'jalloul']"
85,سهرية عالمية الأندلسي إنسان شايخ واضح صريح احترمك رغم انتمائي للأفريقي . برافو واصل طريق النجاح ربي يوفقك,1,سهرية عالمية الأندلسي إنسان شايخ واضح صريح احترمك رغم انتمائي للأفريقي برافو واصل طريق النجاح ربي يوفقك,"['سهرية', 'عالمية', 'الأندلسي', 'إنسان', 'شايخ', 'واضح', 'صريح', 'احترمك', 'رغم', 'انتمائي', 'للأفريقي', 'برافو', 'واصل', 'طريق', 'النجاح', 'ربي', 'يوفقك']"
86,عالم منافق,-1,عالم منافق,"['عالم', 'منافق']"
87,جعفور وحدك جو معلم ديما مزاهينا,1,جعفور وحدك جو معلم ديما مزاهينا,"['جعفور', 'وحدك', 'جو', 'معلم', 'ديما', 'مزاهينا']"
88,Hanene assla,1,hanene assla,"['hanene', 'assla']"
89,باج مزيانة فها خدمة تحفونة الباج,1,باج مزيانة فها خدمة تحفونة الباج,"['باج', 'مزيانة', 'فها', 'خدمة', 'تحفونة', 'الباج']"
90,نجلاء ممثلة كبيرة نحبك برشا نتبعك برشا نقولك الصوت لغناء سيب خليك دائرة التمثيل يزي خليك محبوبة ^_^,1,نجلاء ممثلة كبيرة نحبك برشا نتبعك برشا نقولك الصوت لغناء سيب خليك دائرة التمثيل يزي خليك محبوبة,"['نجلاء', 'ممثلة', 'كبيرة', 'نحبك', 'برشا', 'نتبعك', 'برشا', 'نقولك', 'الصوت', 'لغناء', 'سيب', 'خليك', 'دائرة', 'التمثيل', 'يزي', 'خليك', 'محبوبة']"
91,allah yehlek dhalem,-1,allah yehlek dhalem,"['allah', 'yehlek', 'dhalem']"
92,يدعي العلم جاهل,-1,يدعي العلم جاهل,"['يدعي', 'العلم', 'جاهل']"
93,ماسط لاسط لعبها مبدع ابداعو الوحيد الطحين والسراب وعداء للنهضة اكب سعدك النهضة تتمنى يناصرها امثالك منحط,-1,ماسط لاسط لعبها مبدع ابداعو الوحيد الطحين والسراب وعداء للنهضة اكب سعدك النهضة تتمنى يناصرها امثالك منحط,"['ماسط', 'لاسط', 'لعبها', 'مبدع', 'ابداعو', 'الوحيد', 'الطحين', 'والسراب', 'وعداء', 'للنهضة', 'اكب', 'سعدك', 'النهضة', 'تتمنى', 'يناصرها', 'امثالك', 'منحط']"
94,كلنا ننتظر صافي سعيد الكاريزما لباقة,1,كلنا ننتظر صافي سعيد الكاريزما لباقة,"['كلنا', 'ننتظر', 'صافي', 'سعيد', 'الكاريزما', 'لباقة']"
95,"هههه والله تحفونة الفازة انتي الراجل fawzi mealem klamek moqnae wsarih ben gamra Mahla zinhom bech nkaberha naemilha poster fy dar ياسز حلوة jaafour nhebek yesser ama chbik tjich* lkerkennah* الحوار التونسي باهية شي Raby ykhalilnaa barhoum Nhebha mout ahla wahed fihom sid ahmed khotab eal bab!!!!!!! Wahdek sami ilfhri راااجل Bravo بنية باهية Bravo layla twahachna bentek khalineha tmathel meak wini ? Jaefour meallem haka rabi yawfqou inchala معلم الشيخ مورو hlouwa mezyena yéééésser FINOU""",1,هههه والله تحفونة الفازة انتي الراجل ياسز حلوة الحوار التونسي باهية شي راااجل بنية باهية معلم الشيخ مورو,"['ههه', 'والله', 'تحفونة', 'الفازة', 'انتي', 'الراجل', 'ياسز', 'حلوة', 'الحوار', 'التونسي', 'باهية', 'شي', 'راااجل', 'بنية', 'باهية', 'معلم', 'الشيخ', 'مورو']"
96,Amin bravooooo,1,amin bravooooo,"['amin', 'bravooooo']"
97,Blid rkik,-1,blid rkik,"['blid', 'rkik']"
98,صراحة أحمد الرحموني .,1,صراحة أحمد الرحموني,"['صراحة', 'أحمد', 'الرحموني']"
100,ممثل ينجح ادوار التقفيف والتلحيس والصبة وحتى الدنيا انسان منافق جباااان ولحاااس,-1,ممثل ينجح ادوار التقفيف والتلحيس والصبة وحتى الدنيا انسان منافق جباااان ولحاااس,"['ممثل', 'ينجح', 'ادوار', 'التقفيف', 'والتلحيس', 'والصبة', 'وحتى', 'الدنيا', 'انسان', 'منافق', 'جبااان', 'ولحاااس']"
102,حلقة ممتازة,1,حلقة ممتازة,"['حلقة', 'ممتازة']"
103,مقنعة مبدعة خديجة الفهري,1,مقنعة مبدعة خديجة الفهري,"['مقنعة', 'مبدعة', 'خديجة', 'الفهري']"
104,ماخمجكم.و.الله.اتفوه.اعليكم,-1,ماخمجكم الله اتفوه اعليكم,"['ماخمجكم', 'الله', 'اتفوه', 'اعليكم']"
105,ووووووووو اجملك,1,ووووووووو اجملك,"['ووو', 'اجملك']"
106,Ejabri jabri zeyid,-1,ejabri jabri zeyid,"['ejabri', 'jabri', 'zeyid']"
107,مرا مخيب راسك هايشة,-1,مرا مخيب راسك هايشة,"['مرا', 'مخيب', 'راسك', 'هايشة']"
108,احلي برنامج تحياتي تونس الخظراء علاء,1,احلي برنامج تحياتي تونس الخظراء علاء,"['احلي', 'برنامج', 'تحياتي', 'تونس', 'الخظراء', 'علاء']"
109,saha jaefour :p,1,saha jaefour,"['saha', 'jaefour']"
110,Nakraha fedam,-1,nakraha fedam,"['nakraha', 'fedam']"
111,حلقة اليلة مستوي عالي برافو كلام ناس,1,حلقة اليلة مستوي عالي برافو كلام ناس,"['حلقة', 'اليلة', 'مستوي', 'عالي', 'برافو', 'كلام', 'ناس']"
113,درتوا العار عندكم علاقة بالكوميديا حالكم يزعج والفرجة عليكم مملة سيب عليكم شوفوا حاجة الدومان درتوا العار قناة العار,-1,درتوا العار عندكم علاقة بالكوميديا حالكم يزعج والفرجة عليكم مملة سيب عليكم شوفوا حاجة الدومان درتوا العار قناة العار,"['درتوا', 'العار', 'عندكم', 'علاقة', 'بالكوميديا', 'حالكم', 'يزعج', 'والفرجة', 'عليكم', 'مملة', 'سيب', 'عليكم', 'شوفوا', 'حاجة', 'الدومان', 'درتوا', 'العار', 'قناة', 'العار']"
114,"Masqatha. Wlh zah, okhtha . ... Meksah qalbha",-1,masqatha wlh zah okhtha meksah qalbha,"['masqatha', 'wlh', 'zah', 'okhtha', 'meksah', 'qalbha']"
115,Mahlek zina,1,mahlek zina,"['mahlek', 'zina']"
116,Maset barcha,-1,maset barcha,"['maset', 'barcha']"
117,meallim zawwali nas tayba ..,-1,meallim zawwali nas tayba,"['meallim', 'zawwali', 'nas', 'tayba']"
118,Tfih ealimarik kifik ki khouk lemsakh tawa aerfit kifécj etbdil bohoum jrayir hathealib -_-,-1,tfih ealimarik kifik ki khouk lemsakh tawa aerfit kif cj etbdil bohoum jrayir hathealib,"['tfih', 'ealimarik', 'kifik', 'ki', 'khouk', 'lemsakh', 'tawa', 'aerfit', 'kif', 'cj', 'etbdil', 'bohoum', 'jrayir', 'hathealib']"
119,ساقطة وموش عبده توه ليليا غلطت ونادمة وفايقه بروحها عملت وتحب تبعد وتنحيه مخهها وشوف هالكلبه عملت لتخمم روحها ،ساقطة 😈😈😈😈😈😈😡😡😡😡😡👊👊👊👊👊👊👊,-1,ساقطة وموش عبده توه ليليا غلطت ونادمة وفايقه بروحها عملت وتحب تبعد وتنحيه مخهها وشوف هالكلبه عملت لتخمم روحها ساقطة,"['ساقطة', 'وموش', 'عبده', 'توه', 'ليليا', 'غلطت', 'ونادمة', 'وفايقه', 'بروحها', 'عملت', 'وتحب', 'تبعد', 'وتنحيه', 'مخهها', 'وشوف', 'هالكلبه', 'عملت', 'لتخمم', 'روحها', 'ساقطة']"
120,Hhh mala manather mkalba,-1,hhh mala manather mkalba,"['hhh', 'mala', 'manather', 'mkalba']"
121,BRAVO CHAKIB.BRAVO.,1,bravo chakib bravo,"['bravo', 'chakib', 'bravo']"
122,Bikol saraha matejibnich minkol nawahi,-1,bikol saraha matejibnich minkol nawahi,"['bikol', 'saraha', 'matejibnich', 'minkol', 'nawahi']"
123,Mealim zinou 😍😍😍😍😍,1,mealim zinou,"['mealim', 'zinou']"
127,مستواك صفرررررررر,-1,مستواك صفرررررررر,"['مستواك', 'صفررر']"
128,YA KALAB YA MOSAkh wmok lamsakha,-1,ya kalab ya mosakh wmok lamsakha,"['ya', 'kalab', 'ya', 'mosakh', 'wmok', 'lamsakha']"
129,كلاب مرتزقة,-1,كلاب مرتزقة,"['كلاب', 'مرتزقة']"
130,Wahdek semi barcha ighirou menek,1,wahdek semi barcha ighirou menek,"['wahdek', 'semi', 'barcha', 'ighirou', 'menek']"
131,Jaafour moumathel mounachet mokhrej tbarkalah elih emalena barcha jaw fel plato hke galbou abi ykhalih twensa,1,jaafour moumathel mounachet mokhrej tbarkalah elih emalena barcha jaw fel plato hke galbou abi ykhalih twensa,"['jaafour', 'moumathel', 'mounachet', 'mokhrej', 'tbarkalah', 'elih', 'emalena', 'barcha', 'jaw', 'fel', 'plato', 'hke', 'galbou', 'abi', 'ykhalih', 'twensa']"
133,Bsaraha mkatel dohk .bravoooo,1,bsaraha mkatel dohk bravoooo,"['bsaraha', 'mkatel', 'dohk', 'bravoooo']"
134,جعفور ياتحفون ربي يحميك مالعينين ووصل رك,1,جعفور ياتحفون ربي يحميك مالعينين ووصل رك,"['جعفور', 'ياتحفون', 'ربي', 'يحميك', 'مالعينين', 'ووصل', 'رك']"
135,halqa behia semi fehri,1,halqa behia semi fehri,"['halqa', 'behia', 'semi', 'fehri']"
136,عاهرة تحمله الكلمة معنى,-1,عاهرة تحمله الكلمة معنى,"['عاهرة', 'تحمله', 'الكلمة', 'معنى']"
137,tayara soutek,1,tayara soutek,"['tayara', 'soutek']"
138,wallhi eandek haq kalmek sahih,1,wallhi eandek haq kalmek sahih,"['wallhi', 'eandek', 'haq', 'kalmek', 'sahih']"
141,متثقف ميخاف حدّ مش برشا عباد منافقين يهيزوا القفة -_-,1,متثقف ميخاف حد مش برشا عباد منافقين يهيزوا القفة,"['متثقف', 'ميخاف', 'حد', 'مش', 'برشا', 'عباد', 'منافقين', 'يهيزوا', 'القفة']"
142,ممثلة العهر قناة الدعارة الاعلامية .....,-1,ممثلة العهر قناة الدعارة الاعلامية,"['ممثلة', 'العهر', 'قناة', 'الدعارة', 'الاعلامية']"
143,Mahlakome wa rabi yifarahkome wa yitawal eomor waldikome incha allah eajabtouni bazar bazar,1,mahlakome wa rabi yifarahkome wa yitawal eomor waldikome incha allah eajabtouni bazar bazar,"['mahlakome', 'wa', 'rabi', 'yifarahkome', 'wa', 'yitawal', 'eomor', 'waldikome', 'incha', 'allah', 'eajabtouni', 'bazar', 'bazar']"
144,pffffffffffffff mamstou eabed rak masseta rak lasseta,-1,pffffffffffffff mamstou eabed rak masseta rak lasseta,"['pffffffffffffff', 'mamstou', 'eabed', 'rak', 'masseta', 'rak', 'lasseta']"
146,ملا تربية ومستوى الكل ثقافة ياللا هاذي قلت حياء,-1,ملا تربية ومستوى الكل ثقافة ياللا هاذي قلت حياء,"['ملا', 'تربية', 'ومستوى', 'الكل', 'ثقافة', 'ياللا', 'هاذي', 'قلت', 'حياء']"
148,Le din mella kallou horriya,-1,le din mella kallou horriya,"['le', 'din', 'mella', 'kallou', 'horriya']"
149,عيب والله,-1,عيب والله,"['عيب', 'والله']"
150,مخيب راسك,-1,مخيب راسك,"['مخيب', 'راسك']"
151,يعطيك دودة نجلووتة محلاك بو زينك عسلة,1,يعطيك دودة نجلووتة محلاك بو زينك عسلة,"['يعطيك', 'دودة', 'نجلووتة', 'محلاك', 'بو', 'زينك', 'عسلة']"
153,تعجبني تبدى تحكي,1,تعجبني تبدى تحكي,"['تعجبني', 'تبدى', 'تحكي']"
154,mahlak wmahla sotak,1,mahlak wmahla sotak,"['mahlak', 'wmahla', 'sotak']"
155,مسكينة تحسها تتحمل شمس فوق قلبها !,1,مسكينة تحسها تتحمل شمس فوق قلبها,"['مسكينة', 'تحسها', 'تتحمل', 'شمس', 'فوق', 'قلبها']"
156,والله جعفر القاسمي إنسان خلوق يستهزئ بالناس بالجهويات ضااامر بشوش ;),1,والله جعفر القاسمي إنسان خلوق يستهزئ بالناس بالجهويات ضااامر بشوش,"['والله', 'جعفر', 'القاسمي', 'إنسان', 'خلوق', 'يستهزئ', 'بالناس', 'بالجهويات', 'ضااامر', 'بشوش']"
157,Tbarkala elik dima teejebni enti ahsen moumathla,1,tbarkala elik dima teejebni enti ahsen moumathla,"['tbarkala', 'elik', 'dima', 'teejebni', 'enti', 'ahsen', 'moumathla']"
158,nmouuuuuuuuut elaha,1,nmouuuuuuuuut elaha,"['nmouuuuuuuuut', 'elaha']"
159,محلاك راضية,1,محلاك راضية,"['محلاك', 'راضية']"
161,Lama hlouwa,1,lama hlouwa,"['lama', 'hlouwa']"
162,bras omok lotfi nahi leblada,-1,bras omok lotfi nahi leblada,"['bras', 'omok', 'lotfi', 'nahi', 'leblada']"
163,dima emnaweraaaaaaaaaaaaaaaaaaaaa,1,dima emnaweraaaaaaaaaaaaaaaaaaaaa,"['dima', 'emnaweraaaaaaaaaaaaaaaaaaaaa']"
164,Mamsetha halokza,-1,mamsetha halokza,"['mamsetha', 'halokza']"
165,maset yesser,-1,maset yesser,"['maset', 'yesser']"
