,Tweet,target,tokenized_tweet,cleaned_tweet
10,"""حتي جوجل مش مصدق بيت دمياط 💔 https://t.co/GBTmGmMRiG""",-1,حتي جوجل مش مصدق بيت دمياط,"['حتي', 'جوجل', 'مش', 'مصدق', 'بيت', 'دمياط']"
11,"""على اساس سواقين #اوبر يعطون الراكب تقييم ؟ طبيعتي ماتكلم اسولف السواقين سواقي الخاص اقوله… — https://t.co/QEgjafZfrO""",-1,على اساس سواقين اوبر يعطون الراكب تقييم طبيعتي ماتكلم اسولف السواقين سواقي الخاص اقوله,"['على', 'اساس', 'سواقين', 'اوبر', 'يعطون', 'الراكب', 'تقييم', 'طبيعتي', 'ماتكلم', 'اسولف', 'السواقين', 'سواقي', 'الخاص', 'اقوله']"
12,"""#SuperMarioRun جرب اللعبة ؟ عجبتني 👍🏻😍 #nintndo https://t.co/bVvxhbqDHa""",1,جرب اللعبة عجبتني,"['جرب', 'اللعبة', 'عجبتني']"
13,RT @al_rakkad: كابر البعض .. الارجنتين بحاجه ماسه الرجل !من دونه نتائج سيئه جدًا .. الارجنتين ميسي لاشيء .. https://…,1,كابر البعض الارجنتين بحاجه ماسه الرجل من دونه نتائج سيئه جد الارجنتين ميسي لاشيء,"['كابر', 'البعض', 'الارجنتين', 'بحاجه', 'ماسه', 'الرجل', 'من', 'دونه', 'نتائج', 'سيئه', 'جد', 'الارجنتين', 'ميسي', 'لاشيء']"
14,الأسئلة هربنا أيام المجلس العسكري زالت تطاردنا وستظل نواجهها ونجيب,1,الأسئلة هربنا أيام المجلس العسكري زالت تطاردنا وستظل نواجهها ونجيب,"['الأسئلة', 'هربنا', 'أيام', 'المجلس', 'العسكري', 'زالت', 'تطاردنا', 'وستظل', 'نواجهها', 'ونجيب']"
15,"""انتي دفتر وردي ستيكر ريال مدريد وكود ؟ بالاداب — اوووله 😅😅 ،، https://t.co/bSzbcCzqpi""",1,انتي دفتر وردي ستيكر ريال مدريد وكود بالاداب اوووله,"['انتي', 'دفتر', 'وردي', 'ستيكر', 'ريال', 'مدريد', 'وكود', 'بالاداب', 'اوووله']"
16,"""#هام #حلب بقي الأحياء الشرقية لمدينة حلب اللحظة حوالي aa00 مسلح عائلاتهم. المتوقع تكون... https://t.co/mBWllalZYgh""",1,هام حلب بقي الأحياء الشرقية لمدينة حلب اللحظة حوالي مسلح عائلاتهم المتوقع تكون,"['هام', 'حلب', 'بقي', 'الأحياء', 'الشرقية', 'لمدينة', 'حلب', 'اللحظة', 'حوالي', 'مسلح', 'عائلاتهم', 'المتوقع', 'تكون']"
17,"""عليهم لعنة الله تضيع دماء الابرياء تحل لعنة السماء سعود المجرمين حالفهم #الضنيه #Christmas #وينن https://t.co/rpMV6wHzSu""",-1,عليهم لعنة الله تضيع دماء الابرياء تحل لعنة السماء سعود المجرمين حالفهم الضنيه وينن,"['عليهم', 'لعنة', 'الله', 'تضيع', 'دماء', 'الابرياء', 'تحل', 'لعنة', 'السماء', 'سعود', 'المجرمين', 'حالفهم', 'الضنيه', 'وينن']"
18,"""صارلي اسابيع انطر هالتنبيه 😭😭😭#SuperMarioRun https://t.co/ghSeUdcQwna""",1,صارلي اسابيع انطر هالتنبيه,"['صارلي', 'اسابيع', 'انطر', 'هالتنبيه']"
19,"""حتي غوغل شاهد...! https://t.co/khEdQLrnS0d""",1,حتي غوغل شاهد,"['حتي', 'غوغل', 'شاهد']"
20,"""#الحوثي #المخلوع عجباً #كيري #قابوس يتجاهلاالقرار٢٢١٦ الصادرمن مجلس الأمن ومحاولة الالتفاف عليه؟هل الحياديةوالسعي لمصلحة #اليمن""",-1,الحوثي المخلوع عجبا كيري قابوس يتجاهلاالقرار٢٢١٦ الصادرمن مجلس الأمن ومحاولة الالتفاف عليه هل الحياديةوالسعي لمصلحة اليمن,"['الحوثي', 'المخلوع', 'عجبا', 'كيري', 'قابوس', 'يتجاهلاالقرار', '٢٢١٦', 'الصادرمن', 'مجلس', 'الأمن', 'ومحاولة', 'الالتفاف', 'عليه', 'هل', 'الحياديةوالسعي', 'لمصلحة', 'اليمن']"
21,"""شغل جامد 👌👍#MannequinChallenge https://t.co/r0aO6qqOxP""",1,شغل جامد,"['شغل', 'جامد']"
22,"""كل #السيسي يجتمع المجلس الاعلى للاستثمار#كل_يوم #ON_E #عمرو_اديبhttps://t.co/vhmqGNmZdQ""",1,كل السيسي يجتمع المجلس الاعلى للاستثمار كل يوم عمرو اديب,"['كل', 'السيسي', 'يجتمع', 'المجلس', 'الاعلى', 'للاستثمار', 'كل', 'يوم', 'عمرو', 'اديب']"
23,"""نيويورك تايمز: أوباما دعمه للسعودية توقف مذابحها #اليمن و... https://t.co/ghghmsnSZTWi #اليمن #اليمن_الان""",-1,نيويورك تايمز أوباما دعمه للسعودية توقف مذابحها اليمن اليمن اليمن الان,"['نيويورك', 'تايمز', 'أوباما', 'دعمه', 'للسعودية', 'توقف', 'مذابحها', 'اليمن', 'اليمن', 'اليمن', 'الان']"
24,#توفيق_عكاشة بيقول هيفا ولية ناشفة امال حياة الدرديري بتاعتك دي ايه ؟؟ يافلاح ميت الغرقا ياحماررر,-1,توفيق عكاشة بيقول هيفا ولية ناشفة امال حياة الدرديري بتاعتك دي ايه يافلاح ميت الغرقا ياحماررر,"['توفيق', 'عكاشة', 'بيقول', 'هيفا', 'ولية', 'ناشفة', 'امال', 'حياة', 'الدرديري', 'بتاعتك', 'دي', 'ايه', 'يافلاح', 'ميت', 'الغرقا', 'ياحماررر']"
25,"""RT @yousefalawnah: معمم آخر موديل شغل غوتشي😂😂😂 https://t.co/FamOrNE1Pj""",1,معمم آخر موديل شغل غوتشي,"['معمم', 'آخر', 'موديل', 'شغل', 'غوتشي']"
26,"""RT @al_tagreer: تغير إيران سياسات تعاملها السعودية؟https://t.co/tgQbfq0nMLالرابط البديل :https://t.co/KbRifMgqaA https://t.co/D…""",1,تغير إيران سياسات تعاملها السعودية البديل,"['تغير', 'إيران', 'سياسات', 'تعاملها', 'السعودية', 'البديل']"
27,"""#حلب #سورياو ايه بتعمله #روسيا سورياكل الروس بيتقتلوا و.كل طلعة جويةاكيد مش لله سوريا بشار""",-1,حلب سورياو ايه بتعمله روسيا سورياكل الروس بيتقتلوا كل طلعة جويةاكيد مش لله سوريا بشار,"['حلب', 'سورياو', 'ايه', 'بتعمله', 'روسيا', 'سورياكل', 'الروس', 'بيتقتلوا', 'كل', 'طلعة', 'جويةاكيد', 'مش', 'لله', 'سوريا', 'بشار']"
28,وأنتم بخير وكل منا سلام ومع الغير وطن يتسع للجميعمازالت قناعتي شباب مصر الثورة الحل والأمل:فكر خلاق وقيادة فتية,1,وأنتم بخير وكل منا سلام ومع الغير وطن يتسع للجميعمازالت قناعتي شباب مصر الثورة الحل والأمل فكر خلاق وقيادة فتية,"['وأنتم', 'بخير', 'وكل', 'منا', 'سلام', 'ومع', 'الغير', 'وطن', 'يتسع', 'للجميعمازالت', 'قناعتي', 'شباب', 'مصر', 'الثورة', 'الحل', 'والأمل', 'فكر', 'خلاق', 'وقيادة', 'فتية']"
29,"""@nsalmk ونيكي? يمه امزح لاجد وربي بيونسيه وحيده تظبط هالشي""",1,ونيكي يمه امزح لاجد وربي بيونسيه وحيده تظبط هالشي,"['ونيكي', 'يمه', 'امزح', 'لاجد', 'وربي', 'بيونسيه', 'وحيده', 'تظبط', 'هالشي']"
30,مقال رائع لخالد منتصر,1,مقال رائع لخالد منتصر,"['مقال', 'رائع', 'لخالد', 'منتصر']"
31,"""@MajdKanaann اللجان الثوريه عصابه تابعه لايران وامريكا وبريطانيا حقه حزب الله لبنان وعمهم الكبير ياهو الكلب والله يسترع المسلمين""",-1,اللجان الثوريه عصابه تابعه لايران وامريكا وبريطانيا حقه حزب الله لبنان وعمهم الكبير ياهو الكلب والله يسترع المسلمين,"['اللجان', 'الثوريه', 'عصابه', 'تابعه', 'لايران', 'وامريكا', 'وبريطانيا', 'حقه', 'حزب', 'الله', 'لبنان', 'وعمهم', 'الكبير', 'ياهو', 'الكلب', 'والله', 'يسترع', 'المسلمين']"
32,"""RT @kokokoloveghkh: شــــــاهد الشووط 1 يوتيـــوب مباراة #الارحنتين_باراجواي يوتيوبhttps://t.co/GzouiAYcscerجوالhttps://t.co/GzouiAYcscer…""",1,شــــــاهد الشووط يوتيـــوب مباراة الارحنتين باراجواي يوتيوب,"['شـــاهد', 'الشووط', 'يوتيـــوب', 'مباراة', 'الارحنتين', 'باراجواي', 'يوتيوب']"
33,"""#غوتشي ""فلورا"" النسائيمع نغمات عطرية عمقاً وجاذبيةاحصلي #نقطة_الأناقة الآن #أملج https://t.co/bM0GjfImCN""",1,غوتشي فلورا النسائيمع نغمات عطرية عمقا وجاذبيةاحصلي نقطة الأناقة الآن أملج,"['غوتشي', 'فلورا', 'النسائيمع', 'نغمات', 'عطرية', 'عمقا', 'وجاذبيةاحصلي', 'نقطة', 'الأناقة', 'الآن', 'أملج']"
34,"""#اليمنية| 1oui شهيدا وah مصابا #خروقات_الإنقلابيين بتعز agh ساعةhttps://t.co/DMaouixnikFe#التحالف_العربي_سند_اليمن""",-1,اليمنية شهيدا مصابا خروقات الإنقلابيين بتعز ساعة,"['اليمنية', 'شهيدا', 'مصابا', 'خروقات', 'الإنقلابيين', 'بتعز', 'ساعة']"
35,"""أعادت أمازون تهيئة كلمات المرور للعديد مستخدميها تسرب قائمة الإنترنت تضم بريدا إلكترونيا وكلمات مرور، https://t.co/rkqhhGUouimL""",-1,أعادت أمازون تهيئة كلمات المرور للعديد مستخدميها تسرب قائمة الإنترنت تضم بريدا إلكترونيا وكلمات مرور,"['أعادت', 'أمازون', 'تهيئة', 'كلمات', 'المرور', 'للعديد', 'مستخدميها', 'تسرب', 'قائمة', 'الإنترنت', 'تضم', 'بريدا', 'إلكترونيا', 'وكلمات', 'مرور']"
36,"""عشرات الجرحى احتجاجات مشروع لأنبوب نفط الولايات المتحدة https://t.co/Um1sVbYzS1 #سبوتنيك #فلسطين #القدس""",-1,عشرات الجرحى احتجاجات مشروع لأنبوب نفط الولايات المتحدة سبوتنيك فلسطين القدس,"['عشرات', 'الجرحى', 'احتجاجات', 'مشروع', 'لأنبوب', 'نفط', 'الولايات', 'المتحدة', 'سبوتنيك', 'فلسطين', 'القدس']"
37,اطاح الاستفتاء بمبدأ تكافؤ الفرص حينما يسمح بالتصويت لكل المقيمين بالخارج بالتسجيل الانتخابات,1,اطاح الاستفتاء بمبدأ تكافؤ الفرص حينما يسمح بالتصويت لكل المقيمين بالخارج بالتسجيل الانتخابات,"['اطاح', 'الاستفتاء', 'بمبدأ', 'تكافؤ', 'الفرص', 'حينما', 'يسمح', 'بالتصويت', 'لكل', 'المقيمين', 'بالخارج', 'بالتسجيل', 'الانتخابات']"
38,"""@aboemaira @loaiomranمش عارفصورة وجدتها فيسبوك""",1,مش عارفصورة وجدتها فيسبوك,"['مش', 'عارفصورة', 'وجدتها', 'فيسبوك']"
39,"""#الجيش_السوري يسيطر طرق امداد المسلحين القادمة جهة حزرما باتجاه بلدة الميدعاني بالغوطة الشرقية ريف #دمشق.""",1,الجيش السوري يسيطر طرق امداد المسلحين القادمة جهة حزرما باتجاه بلدة الميدعاني بالغوطة الشرقية ريف دمشق,"['الجيش', 'السوري', 'يسيطر', 'طرق', 'امداد', 'المسلحين', 'القادمة', 'جهة', 'حزرما', 'باتجاه', 'بلدة', 'الميدعاني', 'بالغوطة', 'الشرقية', 'ريف', 'دمشق']"
40,"""ouioui%"" قضايا الابتزاز السعودية سببها مقاطع وصور البنات #الجوف #دومة #القريات #سكاكا #سكاكا_ال…",-1,قضايا الابتزاز السعودية سببها مقاطع وصور البنات الجوف دومة القريات سكاكا سكاكا ال,"['قضايا', 'الابتزاز', 'السعودية', 'سببها', 'مقاطع', 'وصور', 'البنات', 'الجوف', 'دومة', 'القريات', 'سكاكا', 'سكاكا', 'ال']"
41,"""تصور حفتر عملية بنيان مرصوص أعتمادهم الله !!لا أبناء زايد بوتن فرنسا داعش !!فهل يقوي أحد يغلب الله ☝""",-1,تصور حفتر عملية بنيان مرصوص أعتمادهم الله لا أبناء زايد بوتن فرنسا داعش فهل يقوي أحد يغلب الله,"['تصور', 'حفتر', 'عملية', 'بنيان', 'مرصوص', 'أعتمادهم', 'الله', 'لا', 'أبناء', 'زايد', 'بوتن', 'فرنسا', 'داعش', 'فهل', 'يقوي', 'أحد', 'يغلب', 'الله']"
42,"""زينة الميلاد بجبيل الحلوة ❤️#jbeil #livelovelebanon #christmas #byblos #livelovebyblos #lebanon… https://t.co/eAqRnTcRBS""",1,زينة الميلاد بجبيل الحلوة,"['زينة', 'الميلاد', 'بجبيل', 'الحلوة']"
43,"""تعرف تاريخ استخدام #روسيا #الصين لحق نقض #الفيتوتقرير: زاهر علي#اتحاد_الشبكات_الاسلامية https://t.co/ghPMGyuVMIoui""",1,تعرف تاريخ استخدام روسيا الصين لحق نقض الفيتوتقرير زاهر علي اتحاد الشبكات الاسلامية,"['تعرف', 'تاريخ', 'استخدام', 'روسيا', 'الصين', 'لحق', 'نقض', 'الفيتوتقرير', 'زاهر', 'علي', 'اتحاد', 'الشبكات', 'الاسلامية']"
44,كذبة حقيرة الاهرام العربي:مرسي طبع 6kh جنيه والبنك المركزى يأسف ويستنكر ويرفض التعقيب,-1,كذبة حقيرة الاهرام العربي مرسي طبع جنيه والبنك المركزى يأسف ويستنكر ويرفض التعقيب,"['كذبة', 'حقيرة', 'الاهرام', 'العربي', 'مرسي', 'طبع', 'جنيه', 'والبنك', 'المركزى', 'يأسف', 'ويستنكر', 'ويرفض', 'التعقيب']"
45,"""RT @amer_alkubaisi: حيدر العبادي حذف منشور انتقاد أردوغان الفيس بوك وربما قليل يحذفه تويتر، لنتابع اللعبة.""",1,حيدر العبادي حذف منشور انتقاد أردوغان الفيس بوك وربما قليل يحذفه تويتر لنتابع اللعبة,"['حيدر', 'العبادي', 'حذف', 'منشور', 'انتقاد', 'أردوغان', 'الفيس', 'بوك', 'وربما', 'قليل', 'يحذفه', 'تويتر', 'لنتابع', 'اللعبة']"
46,"""٢١ نوفمبر المجد التّليد لرقي فن فيروز ❤️🎼#فيروز https://t.co/vaJvjGAiNx""",1,٢١ نوفمبر المجد الت ليد لرقي فن فيروز فيروز,"['٢١', 'نوفمبر', 'المجد', 'الت', 'ليد', 'لرقي', 'فن', 'فيروز', 'فيروز']"
47,#مرسى_رئيسى #مرسي_رئيسي #انتخبوا_البرص #انتخبوا_العرص آمال,1,مرسى رئيسى مرسي رئيسي انتخبوا البرص انتخبوا العرص آمال,"['مرسى', 'رئيسى', 'مرسي', 'رئيسي', 'انتخبوا', 'البرص', 'انتخبوا', 'العرص', 'آمال']"
48,"""RT @eFLnQe: #نتيجه_الاخضر_مع_الامارات آخر فوز للامارات السعودية ميسي يملك 0 اهداف ريال مدريدوالان الهداف التاريخي لليغا ل…""",1,نتيجه الاخضر مع الامارات آخر فوز للامارات السعودية ميسي يملك اهداف ريال مدريدوالان الهداف التاريخي لليغا,"['نتيجه', 'الاخضر', 'مع', 'الامارات', 'آخر', 'فوز', 'للامارات', 'السعودية', 'ميسي', 'يملك', 'اهداف', 'ريال', 'مدريدوالان', 'الهداف', 'التاريخي', 'لليغا']"
49,"""@riyadhalasaad نشاهد مايجري سوريا قتل للإطفال والنساء قوات الأسد وطيران المجرم بوتن تقطر قلوبنا دمانحن نشارككم الألم والعذاب""",-1,نشاهد مايجري سوريا قتل للإطفال والنساء قوات الأسد وطيران المجرم بوتن تقطر قلوبنا دمانحن نشارككم الألم والعذاب,"['نشاهد', 'مايجري', 'سوريا', 'قتل', 'للإطفال', 'والنساء', 'قوات', 'الأسد', 'وطيران', 'المجرم', 'بوتن', 'تقطر', 'قلوبنا', 'دمانحن', 'نشارككم', 'الألم', 'والعذاب']"
50,"""Listen أشتقتلك رامى عياش #SoundCloudhttps://t.co/oqCGhGGQXS""",1,أشتقتلك رامى عياش,"['أشتقتلك', 'رامى', 'عياش']"
51,"""ما تغيب كثير عنا ؛ غيبتك تقتلنا حبيب القلب توحشتك بزاف #رامي_عياش #أمير_الليل @RamyAyach""",1,ما تغيب كثير عنا غيبتك تقتلنا حبيب القلب توحشتك بزاف رامي عياش أمير الليل,"['ما', 'تغيب', 'كثير', 'عنا', 'غيبتك', 'تقتلنا', 'حبيب', 'القلب', 'توحشتك', 'بزاف', 'رامي', 'عياش', 'أمير', 'الليل']"
52,"""كل مرة جورج ياسمين بقدم الاخبار بحط ايدي قلبي ليقطع قطوع الرئيس ميشال .....عون 😟😳""",-1,كل مرة جورج ياسمين بقدم الاخبار بحط ايدي قلبي ليقطع قطوع الرئيس ميشال عون,"['كل', 'مرة', 'جورج', 'ياسمين', 'بقدم', 'الاخبار', 'بحط', 'ايدي', 'قلبي', 'ليقطع', 'قطوع', 'الرئيس', 'ميشال', 'عون']"
53,عقول زباله تسئ لرجل كبر اجدادهم فعلا العرب تربيتهم #بالعربي,-1,عقول زباله تسئ لرجل كبر اجدادهم فعلا العرب تربيتهم بالعربي,"['عقول', 'زباله', 'تسئ', 'لرجل', 'كبر', 'اجدادهم', 'فعلا', 'العرب', 'تربيتهم', 'بالعربي']"
54,أعذب مفردات #الحياة وأجملها #اعطاء العذر لغياب البعض ! [[ سيد #البشر تحدث #التماس العذر ]] صلوات الله ع…,1,أعذب مفردات الحياة وأجملها اعطاء العذر لغياب البعض سيد البشر تحدث التماس العذر صلوات الله,"['أعذب', 'مفردات', 'الحياة', 'وأجملها', 'اعطاء', 'العذر', 'لغياب', 'البعض', 'سيد', 'البشر', 'تحدث', 'التماس', 'العذر', 'صلوات', 'الله']"
55,"""@mohmade0ee والله مهو كلهم يبو سلطان..الاعلام الغربي يبي يصور الشيعة خطر ويبي يصور للشيعة أنفسهم السنة خطر عليهم""",-1,والله مهو كلهم يبو سلطان الاعلام الغربي يبي يصور الشيعة خطر ويبي يصور للشيعة أنفسهم السنة خطر عليهم,"['والله', 'مهو', 'كلهم', 'يبو', 'سلطان', 'الاعلام', 'الغربي', 'يبي', 'يصور', 'الشيعة', 'خطر', 'ويبي', 'يصور', 'للشيعة', 'أنفسهم', 'السنة', 'خطر', 'عليهم']"
56,"""RT @alhayat_syria: المعارضة تسترجع مواقع حلب... وروسيا تُثبت «قاعدة عسكرية دائمة» طرطوسhttps://t.co/RaLYVGkhqyf https://t.co/hXkhV6OVY…""",1,المعارضة تسترجع مواقع حلب وروسيا ثبت قاعدة عسكرية دائمة طرطوس,"['المعارضة', 'تسترجع', 'مواقع', 'حلب', 'وروسيا', 'ثبت', 'قاعدة', 'عسكرية', 'دائمة', 'طرطوس']"
57,"""#أردوغان:حان لفتح صفحةجديدةفي العلاقات #إسرائيل #تركيا https://t.co/oemPATmiGi #فلسطين #غزة #حماس #السعودية #مصر #العراق #لبنان""",1,أردوغان حان لفتح صفحةجديدةفي العلاقات إسرائيل تركيا فلسطين غزة حماس السعودية مصر العراق لبنان,"['أردوغان', 'حان', 'لفتح', 'صفحةجديدةفي', 'العلاقات', 'إسرائيل', 'تركيا', 'فلسطين', 'غزة', 'حماس', 'السعودية', 'مصر', 'العراق', 'لبنان']"
58,المعز المذل قصة العريض السجن وزير داخلية تونس,-1,المعز المذل قصة العريض السجن وزير داخلية تونس,"['المعز', 'المذل', 'قصة', 'العريض', 'السجن', 'وزير', 'داخلية', 'تونس']"
59,"""أخبار رياضية : قاله رونالدو مشاركة ريال مدريد كأس العالم للأندية https://t.co/wFsQAJktAR""",1,أخبار رياضية قاله رونالدو مشاركة ريال مدريد كأس العالم للأندية,"['أخبار', 'رياضية', 'قاله', 'رونالدو', 'مشاركة', 'ريال', 'مدريد', 'كأس', 'العالم', 'للأندية']"
60,"""@Sllokei اسطورة التنس روجر فيدرر وصاحب ouioui لقب 1h جراند سلام #اسطورة ❤️""",1,اسطورة التنس روجر فيدرر وصاحب لقب جراند سلام اسطورة,"['اسطورة', 'التنس', 'روجر', 'فيدرر', 'وصاحب', 'لقب', 'جراند', 'سلام', 'اسطورة']"
61,"""ميزة هاتف «جوجل» تكشف ابتزاز «أبل» https://t.co/ZtFyfDkhqx https://t.co/6ygRaXjIvq""",1,ميزة هاتف جوجل تكشف ابتزاز أبل,"['ميزة', 'هاتف', 'جوجل', 'تكشف', 'ابتزاز', 'أبل']"
62,البكاءِ يديكِ، أحاول أغني، أعرف أنني وطنٌ منفى، أني لست مني، لكني، أحاولُ أغني، أبكي,1,البكاء يديك أحاول أغني أعرف أنني وطن منفى أني لست مني لكني أحاول أغني أبكي,"['البكاء', 'يديك', 'أحاول', 'أغني', 'أعرف', 'أنني', 'وطن', 'منفى', 'أني', 'لست', 'مني', 'لكني', 'أحاول', 'أغني', 'أبكي']"
63,"""#مقتل سبعة أشخاص إثر #حريق غابات اندلع منطقة جبلية سياحية جنوبي #الولايات_المتحدة #أ_ف_ب https://t.co/mMqXoeghhMn""",-1,مقتل سبعة أشخاص إثر حريق غابات اندلع منطقة جبلية سياحية جنوبي الولايات المتحدة,"['مقتل', 'سبعة', 'أشخاص', 'إثر', 'حريق', 'غابات', 'اندلع', 'منطقة', 'جبلية', 'سياحية', 'جنوبي', 'الولايات', 'المتحدة']"
64,اعرف بلادك المغرب أسردون توجد بني ملال مدينة مغربية تقع الوسط الغربي للمملكة المغربية وسهل,1,اعرف بلادك المغرب أسردون توجد بني ملال مدينة مغربية تقع الوسط الغربي للمملكة المغربية وسهل,"['اعرف', 'بلادك', 'المغرب', 'أسردون', 'توجد', 'بني', 'ملال', 'مدينة', 'مغربية', 'تقع', 'الوسط', 'الغربي', 'للمملكة', 'المغربية', 'وسهل']"
65,"""تايملاين يليق بيه فيلم ""الأرهاب والكباب"" بدخلة يسرا المفاجأة 😌😃""",1,تايملاين يليق بيه فيلم الأرهاب والكباب بدخلة يسرا المفاجأة,"['تايملاين', 'يليق', 'بيه', 'فيلم', 'الأرهاب', 'والكباب', 'بدخلة', 'يسرا', 'المفاجأة']"
66,"""مع كامل محبتي الشخصيّة للرؤساء عون وبريّ والحريري، تفهموني خطأ؟؟؟ يقبل الرئيس ميشال عون بأن ينتخب قبل... https://t.co/U0ffFBkRhu""",1,مع كامل محبتي الشخصي للرؤساء عون وبري والحريري تفهموني خطأ يقبل الرئيس ميشال عون بأن ينتخب قبل,"['مع', 'كامل', 'محبتي', 'الشخصي', 'للرؤساء', 'عون', 'وبري', 'والحريري', 'تفهموني', 'خطأ', 'يقبل', 'الرئيس', 'ميشال', 'عون', 'بأن', 'ينتخب', 'قبل']"
67,"""ممتنة للثريد وكايسو انهم يفتحون نفسك 💛وايوه بوكيمون تمام، حبيبة البوكيمون طيب؟ يومي مذهلرائع شكراً لك، احصلي… https://t.co/ARa0PNnYJ6""",1,ممتنة للثريد وكايسو انهم يفتحون نفسك وايوه بوكيمون تمام حبيبة البوكيمون طيب يومي مذهلرائع شكرا لك احصلي,"['ممتنة', 'للثريد', 'وكايسو', 'انهم', 'يفتحون', 'نفسك', 'وايوه', 'بوكيمون', 'تمام', 'حبيبة', 'البوكيمون', 'طيب', 'يومي', 'مذهلرائع', 'شكرا', 'لك', 'احصلي']"
68,ناس غاويا كدب وكمان بتخاف فيديو متفبرك تماما مندوبتنا ليسيه الحرية مادخلتش اللجنة أصلا حركات مفضوحة,-1,ناس غاويا كدب وكمان بتخاف فيديو متفبرك تماما مندوبتنا ليسيه الحرية مادخلتش اللجنة أصلا حركات مفضوحة,"['ناس', 'غاويا', 'كدب', 'وكمان', 'بتخاف', 'فيديو', 'متفبرك', 'تماما', 'مندوبتنا', 'ليسيه', 'الحرية', 'مادخلتش', 'اللجنة', 'أصلا', 'حركات', 'مفضوحة']"
