,Tweet,target,tokenized_tweet,cleaned_tweet
17,الــرمــال الذهبية إلا فــي الصحراء المغربيــة,1,الــرمــال الذهبية إلا فــي الصحراء المغربيــة,"['الــرمــال', 'الذهبية', 'إلا', 'فــي', 'الصحراء', 'المغربيــة']"
18,شعــارنـا الخــالـد غـصـبا عــن كــل حــاقــد,1,شعــارنـا الخــالـد غـصـبا عــن كــل حــاقــد,"['شعــارنـا', 'الخــالـد', 'غـصـبا', 'عــن', 'كــل', 'حــاقــد']"
19,الـــــــلــــــــــه الـــــــوطـــــــــن الــــــمــــلـــــك,1,الـــــــلــــــــــه الـــــــوطـــــــــن الــــــمــــلـــــك,"['الـــلـــه', 'الـــوطـــن', 'الـــمـــلـــك']"
20,أتقدم بأحر التهاني جمـيع المغاربة الأمازيغيين،،,1,أتقدم بأحر التهاني جمـيع المغاربة الأمازيغيين,"['أتقدم', 'بأحر', 'التهاني', 'جمـيع', 'المغاربة', 'الأمازيغيين']"
21,أَحْـــسَـــــنْ مَــــلِــــــك فِـــــي الـعَــــــالَـــــم,1,ـــس ـــــن ــــل ــــــك ـــــي الـع ــــــال ـــــم,"['ـــس', 'ـــن', 'ـــل', 'ـــك', 'ـــي', 'الـع', 'ـــال', 'ـــم']"
22,أعـشـقك عـنـدما أكـــــــــون أكـــــــــــــــــون,1,أعـشـقك عـنـدما أكـــــــــون أكـــــــــــــــــون,"['أعـشـقك', 'عـنـدما', 'أكـــون', 'أكـــون']"
23,"""شكرا للجمهور للكوموندو الطاوسي اللاعبين التأهل المعجزة للمغرب",1,شكرا للجمهور للكوموندو الطاوسي اللاعبين التأهل المعجزة للمغرب,"['شكرا', 'للجمهور', 'للكوموندو', 'الطاوسي', 'اللاعبين', 'التأهل', 'المعجزة', 'للمغرب']"
24,أعـشــقك فــي مديـنة الكـــون,1,أعـشــقك فــي مديـنة الكـــون,"['أعـشــقك', 'فــي', 'مديـنة', 'الكـــون']"
25,جيم لأعز أغلى الناس.,1,جيم لأعز أغلى الناس,"['جيم', 'لأعز', 'أغلى', 'الناس']"
27,أحسن فيديو العالم لأحسن مــلــك فــي الــعالــم.,1,أحسن فيديو العالم لأحسن مــلــك فــي الــعالــم,"['أحسن', 'فيديو', 'العالم', 'لأحسن', 'مــلــك', 'فــي', 'الــعالــم']"
29,أتـــرك تـــهــنــئــتــك لـلأميرة الغالية.,1,أتـــرك تـــهــنــئــتــك لـلأميرة الغالية,"['أتـــرك', 'تـــهــنــئــتــك', 'لـلأميرة', 'الغالية']"
30,واحــلم بـــشـمـــس مـــضـــيــئــة فــي جــمــيـــــل,1,واحــلم بـــشـمـــس مـــضـــيــئــة فــي جــمــيـــــل,"['واحــلم', 'بـــشـمـــس', 'مـــضـــيــئــة', 'فــي', 'جــمــيـــل']"
31,السماء تفخر بوجود النجوم .. فلابد للأرض تفخر بوجود محمد السادس,1,السماء تفخر بوجود النجوم فلابد للأرض تفخر بوجود محمد السادس,"['السماء', 'تفخر', 'بوجود', 'النجوم', 'فلابد', 'للأرض', 'تفخر', 'بوجود', 'محمد', 'السادس']"
32,"عذرا """"فيثاغورث"""" : المملكة المغربية المعادلة الأصعب",1,عذرا فيثاغورث المملكة المغربية المعادلة الأصعب,"['عذرا', 'فيثاغورث', 'المملكة', 'المغربية', 'المعادلة', 'الأصعب']"
33,"-عذرا """"نيوتن"""" : مـــــــــــراكــــش هـــي التـي تجـــذبـــنــا",1,عذرا نيوتن مـــــــــــراكــــش هـــي التـي تجـــذبـــنــا,"['عذرا', 'نيوتن', 'مـــراكـــش', 'هـــي', 'التـي', 'تجـــذبـــنــا']"
34,"عذرا """"ديكارت"""" : مـــــــــغــــــــــربـــــــــي موجود",1,عذرا ديكارت مـــــــــغــــــــــربـــــــــي موجود,"['عذرا', 'ديكارت', 'مـــغـــربـــي', 'موجود']"
35,"عذراً """"دافنشي """": الفـتاة الـمـغـربـيـة أجـمـل الموناليزا",1,عذرا دافنشي الفـتاة الـمـغـربـيـة أجـمـل الموناليزا,"['عذرا', 'دافنشي', 'الفـتاة', 'الـمـغـربـيـة', 'أجـمـل', 'الموناليزا']"
36,"عذراً"""" أديسون"""" : الـــــــــمـــــــــغــــرب هــو مصباح العالم",1,عذرا أديسون الـــــــــمـــــــــغــــرب هــو مصباح العالم,"['عذرا', 'أديسون', 'الـــمـــغـــرب', 'هــو', 'مصباح', 'العالم']"
37,"عذرا """"ايها الصباح"""" : الـــــــــــمـــــــغــــــــرب اشراقتي",1,عذرا ايها الصباح الـــــــــــمـــــــغــــــــرب اشراقتي,"['عذرا', 'ايها', 'الصباح', 'الـــمـــغـــرب', 'اشراقتي']"
38,"عذراً """"روما"""" : كــــل الـــــــــــطــــرق تؤدي بـــــلـــدي",1,عذرا روما كــــل الـــــــــــطــــرق تؤدي بـــــلـــدي,"['عذرا', 'روما', 'كـــل', 'الـــطـــرق', 'تؤدي', 'بـــلـــدي']"
40,"""هل تعلم :أن محمد السادس الملك القائد الوحيد العالم العربي يتجول أحيانا بدون حراسة ؟",1,هل تعلم أن محمد السادس الملك القائد الوحيد العالم العربي يتجول أحيانا بدون حراسة,"['هل', 'تعلم', 'أن', 'محمد', 'السادس', 'الملك', 'القائد', 'الوحيد', 'العالم', 'العربي', 'يتجول', 'أحيانا', 'بدون', 'حراسة']"
41,تعلم :أن محمد السادس القائد والملك الوحيد العالم يحتاج مترجم لقائاته الرسمية والغير رسمية ؟,1,تعلم أن محمد السادس القائد والملك الوحيد العالم يحتاج مترجم لقائاته الرسمية والغير رسمية,"['تعلم', 'أن', 'محمد', 'السادس', 'القائد', 'والملك', 'الوحيد', 'العالم', 'يحتاج', 'مترجم', 'لقائاته', 'الرسمية', 'والغير', 'رسمية']"
42,تعلم :أن محمد السادس يتقن خمس لغات أجنبية نطقا وكتابة ؟,1,تعلم أن محمد السادس يتقن خمس لغات أجنبية نطقا وكتابة,"['تعلم', 'أن', 'محمد', 'السادس', 'يتقن', 'خمس', 'لغات', 'أجنبية', 'نطقا', 'وكتابة']"
43,تعلم :أن ملكنا صاحب أقوى اصلاحات العالم العربي بشهادة الغرب والشرق؟,1,تعلم أن ملكنا صاحب أقوى اصلاحات العالم العربي بشهادة الغرب والشرق,"['تعلم', 'أن', 'ملكنا', 'صاحب', 'أقوى', 'اصلاحات', 'العالم', 'العربي', 'بشهادة', 'الغرب', 'والشرق']"
44,تعلم :أن محمد السادس الأجمل الملوك القادة العالم؟,1,تعلم أن محمد السادس الأجمل الملوك القادة العالم,"['تعلم', 'أن', 'محمد', 'السادس', 'الأجمل', 'الملوك', 'القادة', 'العالم']"
45,تعلم :أن الملك محمد السادس أحب الملوك والرؤساء شعبه ؟,1,تعلم أن الملك محمد السادس أحب الملوك والرؤساء شعبه,"['تعلم', 'أن', 'الملك', 'محمد', 'السادس', 'أحب', 'الملوك', 'والرؤساء', 'شعبه']"
46,تعلم :أن الملك محمد السادس سرق قلوب المغاربة ؟,1,تعلم أن الملك محمد السادس سرق قلوب المغاربة,"['تعلم', 'أن', 'الملك', 'محمد', 'السادس', 'سرق', 'قلوب', 'المغاربة']"
47,مغربي بلد وملكي محمد السادس نصره لله.,1,مغربي بلد وملكي محمد السادس نصره لله,"['مغربي', 'بلد', 'وملكي', 'محمد', 'السادس', 'نصره', 'لله']"
48,"فيان البحري: """"مسيرة مسيرة"""" أغنية وطنية رائعة احتفالا بالذكرى الـ للمسيرة الخضراء",1,فيان البحري مسيرة مسيرة أغنية وطنية رائعة احتفالا بالذكرى الـ للمسيرة الخضراء,"['فيان', 'البحري', 'مسيرة', 'مسيرة', 'أغنية', 'وطنية', 'رائعة', 'احتفالا', 'بالذكرى', 'الـ', 'للمسيرة', 'الخضراء']"
49,"راسلتكم مرات جواب شكر مسبق حسن اهتمامكم .رمضان كريم""",1,راسلتكم مرات جواب شكر مسبق حسن اهتمامكم رمضان كريم,"['راسلتكم', 'مرات', 'جواب', 'شكر', 'مسبق', 'حسن', 'اهتمامكم', 'رمضان', 'كريم']"
50,"عواشر مبروكة لجميع المسلمين.""",1,عواشر مبروكة لجميع المسلمين,"['عواشر', 'مبروكة', 'لجميع', 'المسلمين']"
51,أطال الله عمرك شاء الله ولاية,1,أطال الله عمرك شاء الله ولاية,"['أطال', 'الله', 'عمرك', 'شاء', 'الله', 'ولاية']"
52,"تحية نضالية لإعضاء العدالة التنمية""",1,تحية نضالية لإعضاء العدالة التنمية,"['تحية', 'نضالية', 'لإعضاء', 'العدالة', 'التنمية']"
53,إنما عزيمة وارادة,1,إنما عزيمة وارادة,"['إنما', 'عزيمة', 'وارادة']"
54,"وفقكم الله مصلحة البلاد والعباد""",1,وفقكم الله مصلحة البلاد والعباد,"['وفقكم', 'الله', 'مصلحة', 'البلاد', 'والعباد']"
55,تقبلوا السيد الرئيس تحياتي الخالصة.,1,تقبلوا السيد الرئيس تحياتي الخالصة,"['تقبلوا', 'السيد', 'الرئيس', 'تحياتي', 'الخالصة']"
56,الحرية_لمعتقلي_الثلاثاء_الأسود,1,الحرية لمعتقلي الثلاثاء الأسود,"['الحرية', 'لمعتقلي', 'الثلاثاء', 'الأسود']"
57,أجبه بالأدب ...إن الله معي شكرا,1,أجبه بالأدب إن الله معي شكرا,"['أجبه', 'بالأدب', 'إن', 'الله', 'معي', 'شكرا']"
58,وأشكر الحكومة انفتاحها السوق الآسيوية,1,وأشكر الحكومة انفتاحها السوق الآسيوية,"['وأشكر', 'الحكومة', 'انفتاحها', 'السوق', 'الآسيوية']"
59,"تقبل الله منكم""",1,تقبل الله منكم,"['تقبل', 'الله', 'منكم']"
60,موت موت يالعدو الملك عندو شعبو,1,موت موت يالعدو الملك عندو شعبو,"['موت', 'موت', 'يالعدو', 'الملك', 'عندو', 'شعبو']"
61,عاش الملك,1,عاش الملك,"['عاش', 'الملك']"
62,"""أنا باغي نوقف نقول عاش الملك محمد السادس.",1,أنا باغي نوقف نقول عاش الملك محمد السادس,"['أنا', 'باغي', 'نوقف', 'نقول', 'عاش', 'الملك', 'محمد', 'السادس']"
63,واش كاين احسن المغرب ؟؟؟؟ هههههههههههههه,1,واش كاين احسن المغرب هههههههههههههه,"['واش', 'كاين', 'احسن', 'المغرب', 'ههه']"
64,أقــسـم بـالله العـلي العـظيـم أبـقـى وفـيا لـمـلـكـي ولــوطــنـي•,1,أقــسـم بـالله العـلي العـظيـم أبـقـى وفـيا لـمـلـكـي ولــوطــنـي,"['أقــسـم', 'بـالله', 'العـلي', 'العـظيـم', 'أبـقـى', 'وفـيا', 'لـمـلـكـي', 'ولــوطــنـي']"
65,مـــهمـا الظروف والله سـبحانـه رقيـب علـى صــــدق نــــيـتـي•,1,مـــهمـا الظروف والله سـبحانـه رقيـب علـى صــــدق نــــيـتـي,"['مـــهمـا', 'الظروف', 'والله', 'سـبحانـه', 'رقيـب', 'علـى', 'صـــدق', 'نـــيـتـي']"
66,"""إذا أحــبك مليــون فأنـــا معــهم.. ♥",1,إذا أحــبك مليــون فأنـــا معــهم,"['إذا', 'أحــبك', 'مليــون', 'فأنـــا', 'معــهم']"
67,وإذا أحـــبـــك واحـــد فـــهــو أنـــــا .. ♥,1,وإذا أحـــبـــك واحـــد فـــهــو أنـــــا,"['وإذا', 'أحـــبـــك', 'واحـــد', 'فـــهــو', 'أنـــا']"
68,وإذا يحبك أحد فاعلم أنني مـت .. ♥,1,وإذا يحبك أحد فاعلم أنني مـت,"['وإذا', 'يحبك', 'أحد', 'فاعلم', 'أنني', 'مـت']"
69,لأنـــنــــا كبـــــرنا ... لــــن ننــكــر خــيرها,1,لأنـــنــــا كبـــــرنا لــــن ننــكــر خــيرها,"['لأنـــنـــا', 'كبـــرنا', 'لـــن', 'ننــكــر', 'خــيرها']"
70,لأنـنا نــعيش فوق ترابها ... سنـــــحترم قائدها,1,لأنـنا نــعيش فوق ترابها سنـــــحترم قائدها,"['لأنـنا', 'نــعيش', 'فوق', 'ترابها', 'سنـــحترم', 'قائدها']"
71,لأنــنــــا مـغاربة أحـــرار .. ســـنرفض تخـــريبها,1,لأنــنــــا مـغاربة أحـــرار ســـنرفض تخـــريبها,"['لأنــنـــا', 'مـغاربة', 'أحـــرار', 'ســـنرفض', 'تخـــريبها']"
72,هـي بلدنا .. ليس غيرها .. ولـيس غيرنا,1,هـي بلدنا ليس غيرها ولـيس غيرنا,"['هـي', 'بلدنا', 'ليس', 'غيرها', 'ولـيس', 'غيرنا']"
73,الحـــب إلا لـوطــني الــوفاء إلا لملـــكــي,1,الحـــب إلا لـوطــني الــوفاء إلا لملـــكــي,"['الحـــب', 'إلا', 'لـوطــني', 'الــوفاء', 'إلا', 'لملـــكــي']"
77,الشعارات ترددت المسيرة:,1,الشعارات ترددت المسيرة,"['الشعارات', 'ترددت', 'المسيرة']"
78,اسمع صوت الشعب : الشعب يقول للدستور,1,اسمع صوت الشعب الشعب يقول للدستور,"['اسمع', 'صوت', 'الشعب', 'الشعب', 'يقول', 'للدستور']"
79,مغربي مغربي مغربية هدا الدستور مزية,1,مغربي مغربي مغربية هدا الدستور مزية,"['مغربي', 'مغربي', 'مغربية', 'هدا', 'الدستور', 'مزية']"
80,عهد مجيد بدستور جديد,1,عهد مجيد بدستور جديد,"['عهد', 'مجيد', 'بدستور', 'جديد']"
81,العملاء برا برا المغرب أرضي حرة,1,العملاء برا برا المغرب أرضي حرة,"['العملاء', 'برا', 'برا', 'المغرب', 'أرضي', 'حرة']"
82,بالروح بالدم نفديك ملك,1,بالروح بالدم نفديك ملك,"['بالروح', 'بالدم', 'نفديك', 'ملك']"
83,الشعب يريد إسقاط الخونة,1,الشعب يريد إسقاط الخونة,"['الشعب', 'يريد', 'إسقاط', 'الخونة']"
85,أقول لهم موتو بغيظكم أيها المفسدون ♦ فالمغرب بلد الشرفاء ليس الملحدون,1,أقول لهم موتو بغيظكم أيها المفسدون فالمغرب بلد الشرفاء ليس الملحدون,"['أقول', 'لهم', 'موتو', 'بغيظكم', 'أيها', 'المفسدون', 'فالمغرب', 'بلد', 'الشرفاء', 'ليس', 'الملحدون']"
90,لقد تجاوزنا . محب لصفحة جلالته الفايسبوك,1,لقد تجاوزنا محب لصفحة جلالته الفايسبوك,"['لقد', 'تجاوزنا', 'محب', 'لصفحة', 'جلالته', 'الفايسبوك']"
91,شكرا لكل ساهم نشر الصفحة,1,شكرا لكل ساهم نشر الصفحة,"['شكرا', 'لكل', 'ساهم', 'نشر', 'الصفحة']"
92,مغاااااااربة نفتخر إنشاء الله نصل,1,مغاااااااربة نفتخر إنشاء الله نصل,"['مغاااربة', 'نفتخر', 'إنشاء', 'الله', 'نصل']"
93,"""جهد مشكور سيدي الرئيس",1,جهد مشكور سيدي الرئيس,"['جهد', 'مشكور', 'سيدي', 'الرئيس']"
95,صراحة أعظم النعم جاد الله المغرب: الملك محمد السادس نصره الله 👐,1,صراحة أعظم النعم جاد الله المغرب الملك محمد السادس نصره الله,"['صراحة', 'أعظم', 'النعم', 'جاد', 'الله', 'المغرب', 'الملك', 'محمد', 'السادس', 'نصره', 'الله']"
96,شخصية رائعة رجل مناسب مناسب ياريت إكون الطاقم ديال الحكومة بحالو,1,شخصية رائعة رجل مناسب مناسب ياريت إكون الطاقم ديال الحكومة بحالو,"['شخصية', 'رائعة', 'رجل', 'مناسب', 'مناسب', 'ياريت', 'إكون', 'الطاقم', 'ديال', 'الحكومة', 'بحالو']"
97,بفضلكم يستطيع المغربي يرفع رأسه العالم العربي يقول أنه مغربي ..,1,بفضلكم يستطيع المغربي يرفع رأسه العالم العربي يقول أنه مغربي,"['بفضلكم', 'يستطيع', 'المغربي', 'يرفع', 'رأسه', 'العالم', 'العربي', 'يقول', 'أنه', 'مغربي']"
98,"""أعانك الله للأمة",1,أعانك الله للأمة,"['أعانك', 'الله', 'للأمة']"
99,"الله يعز السيد الوفا السيد بنكيران ويحرم الواليدين ينصرهم أولاد الحرام""",1,الله يعز السيد الوفا السيد بنكيران ويحرم الواليدين ينصرهم أولاد الحرام,"['الله', 'يعز', 'السيد', 'الوفا', 'السيد', 'بنكيران', 'ويحرم', 'الواليدين', 'ينصرهم', 'أولاد', 'الحرام']"
100,نظافة يدكم يشهد الخصوم الأصدقاء.,1,نظافة يدكم يشهد الخصوم الأصدقاء,"['نظافة', 'يدكم', 'يشهد', 'الخصوم', 'الأصدقاء']"
101,"""هذا كلام المعقول",1,هذا كلام المعقول,"['هذا', 'كلام', 'المعقول']"
102,والله والله والله اشرف دافع الشعب وربما اكتر عبد الرحمن اليوسفي تأملوا المغرب الحقبة يمسكها كيران كنا والوا الرجل خدم البلاد وقدم الكتير ولن نرى رجلا مثله البلاد والأيام بيننا تنصروه وانتم اقلية,1,والله والله والله اشرف دافع الشعب وربما اكتر عبد الرحمن اليوسفي تأملوا المغرب الحقبة يمسكها كيران كنا والوا الرجل خدم البلاد وقدم الكتير ولن نرى رجلا مثله البلاد والأيام بيننا تنصروه وانتم اقلية,"['والله', 'والله', 'والله', 'اشرف', 'دافع', 'الشعب', 'وربما', 'اكتر', 'عبد', 'الرحمن', 'اليوسفي', 'تأملوا', 'المغرب', 'الحقبة', 'يمسكها', 'كيران', 'كنا', 'والوا', 'الرجل', 'خدم', 'البلاد', 'وقدم', 'الكتير', 'ولن', 'نرى', 'رجلا', 'مثله', 'البلاد', 'والأيام', 'بيننا', 'تنصروه', 'وانتم', 'اقلية']"
103,خسارة رئاسة الحكومة خسارة الامانة العامة للحزب، نعلن رسميا مرحلة كيران السيئة,1,خسارة رئاسة الحكومة خسارة الامانة العامة للحزب نعلن رسميا مرحلة كيران السيئة,"['خسارة', 'رئاسة', 'الحكومة', 'خسارة', 'الامانة', 'العامة', 'للحزب', 'نعلن', 'رسميا', 'مرحلة', 'كيران', 'السيئة']"
104,الله يرحم اللي زار خفف,1,الله يرحم اللي زار خفف,"['الله', 'يرحم', 'اللي', 'زار', 'خفف']"
105,تحية احترام للسياسي المناضل يقول الحق مرا..تحية خالصة لرجل السياسة بامتياز السيد عبد الاله بنكيران المغربي البسيط تعبيراته مقابلاته الشيء يروق لاصحاب البريستيج البروتوكولات الخاوية اصحاب البطون الممتلئة بأموال الشعب..ليس المهم تبقى أمينا لحزب تغيرت معالمه عهدك عهد سبقوك..الاهم أخيرا سترتاح تواجدك بمكان تكون الكلمة تؤخد قرارتك بعين الاعتبار,1,تحية احترام للسياسي المناضل يقول الحق مرا تحية خالصة لرجل السياسة بامتياز السيد عبد الاله بنكيران المغربي البسيط تعبيراته مقابلاته الشيء يروق لاصحاب البريستيج البروتوكولات الخاوية اصحاب البطون الممتلئة بأموال الشعب ليس المهم تبقى أمينا لحزب تغيرت معالمه عهدك عهد سبقوك الاهم أخيرا سترتاح تواجدك بمكان تكون الكلمة تؤخد قرارتك بعين الاعتبار,"['تحية', 'احترام', 'للسياسي', 'المناضل', 'يقول', 'الحق', 'مرا', 'تحية', 'خالصة', 'لرجل', 'السياسة', 'بامتياز', 'السيد', 'عبد', 'الاله', 'بنكيران', 'المغربي', 'البسيط', 'تعبيراته', 'مقابلاته', 'الشيء', 'يروق', 'لاصحاب', 'البريستيج', 'البروتوكولات', 'الخاوية', 'اصحاب', 'البطون', 'الممتلئة', 'بأموال', 'الشعب', 'ليس', 'المهم', 'تبقى', 'أمينا', 'لحزب', 'تغيرت', 'معالمه', 'عهدك', 'عهد', 'سبقوك', 'الاهم', 'أخيرا', 'سترتاح', 'تواجدك', 'بمكان', 'تكون', 'الكلمة', 'تؤخد', 'قرارتك', 'بعين', 'الاعتبار']"
106,لقد أخطأ وزراء حزب العدالة والتنمية تآمرهم بنكيران وسيفقدون كلهم إستتناء مناصبهم أوصلهم اليها الزعيم الحقيقي ولن تتاح لأي منهم الفرصة لإسترجاع المناصب. التاريخ يثبت لأي يصبح زعيما.,1,لقد أخطأ وزراء حزب العدالة والتنمية تآمرهم بنكيران وسيفقدون كلهم إستتناء مناصبهم أوصلهم اليها الزعيم الحقيقي ولن تتاح لأي منهم الفرصة لإسترجاع المناصب التاريخ يثبت لأي يصبح زعيما,"['لقد', 'أخطأ', 'وزراء', 'حزب', 'العدالة', 'والتنمية', 'تآمرهم', 'بنكيران', 'وسيفقدون', 'كلهم', 'إستتناء', 'مناصبهم', 'أوصلهم', 'اليها', 'الزعيم', 'الحقيقي', 'ولن', 'تتاح', 'لأي', 'منهم', 'الفرصة', 'لإسترجاع', 'المناصب', 'التاريخ', 'يثبت', 'لأي', 'يصبح', 'زعيما']"
107,اودي اسكتوا سينبعث رماده سترون كيران ادراك كيران,1,اودي اسكتوا سينبعث رماده سترون كيران ادراك كيران,"['اودي', 'اسكتوا', 'سينبعث', 'رماده', 'سترون', 'كيران', 'ادراك', 'كيران']"
108,كلما الامر كيران رجل صالح وادى الامانة احسن يرام كيران رئيس حكومة عبر التاريخ المغربي استقلينا عرف معه الشعب المغربي العدل والديمقراطية وهذه السياسة نهجها كيران تضر المسؤولين الكبار المغرب اللين يخافون المحاسبة لهذا شتتوا شمل العدالة والتنمية وتركوا الحزب ليكون اعضائه الاخرون الاحزاب الاخرى حكمت المغرب ستون وهم ينهبون ويهربون اموال المغاربة ويريدون العدالة والتنمية مبلغا للمخابرات المغربية يقوم الاحزاب الاخرى,1,كلما الامر كيران رجل صالح وادى الامانة احسن يرام كيران رئيس حكومة عبر التاريخ المغربي استقلينا عرف معه الشعب المغربي العدل والديمقراطية وهذه السياسة نهجها كيران تضر المسؤولين الكبار المغرب اللين يخافون المحاسبة لهذا شتتوا شمل العدالة والتنمية وتركوا الحزب ليكون اعضائه الاخرون الاحزاب الاخرى حكمت المغرب ستون وهم ينهبون ويهربون اموال المغاربة ويريدون العدالة والتنمية مبلغا للمخابرات المغربية يقوم الاحزاب الاخرى,"['كلما', 'الامر', 'كيران', 'رجل', 'صالح', 'وادى', 'الامانة', 'احسن', 'يرام', 'كيران', 'رئيس', 'حكومة', 'عبر', 'التاريخ', 'المغربي', 'استقلينا', 'عرف', 'معه', 'الشعب', 'المغربي', 'العدل', 'والديمقراطية', 'وهذه', 'السياسة', 'نهجها', 'كيران', 'تضر', 'المسؤولين', 'الكبار', 'المغرب', 'اللين', 'يخافون', 'المحاسبة', 'لهذا', 'شتتوا', 'شمل', 'العدالة', 'والتنمية', 'وتركوا', 'الحزب', 'ليكون', 'اعضائه', 'الاخرون', 'الاحزاب', 'الاخرى', 'حكمت', 'المغرب', 'ستون', 'وهم', 'ينهبون', 'ويهربون', 'اموال', 'المغاربة', 'ويريدون', 'العدالة', 'والتنمية', 'مبلغا', 'للمخابرات', 'المغربية', 'يقوم', 'الاحزاب', 'الاخرى']"
109,المسيرة النضالية للاستاد بنكيران مستمرة,1,المسيرة النضالية للاستاد بنكيران مستمرة,"['المسيرة', 'النضالية', 'للاستاد', 'بنكيران', 'مستمرة']"
110,وحزب العدالة والتنمية حزب المؤسسات حزب ديمقراطي ونحن نفتخر,1,وحزب العدالة والتنمية حزب المؤسسات حزب ديمقراطي ونحن نفتخر,"['وحزب', 'العدالة', 'والتنمية', 'حزب', 'المؤسسات', 'حزب', 'ديمقراطي', 'ونحن', 'نفتخر']"
111,والحاج عبد الإله سيبقى مناضلا متميزا الحقل السياسي المغربي.,1,والحاج عبد الإله سيبقى مناضلا متميزا الحقل السياسي المغربي,"['والحاج', 'عبد', 'الإله', 'سيبقى', 'مناضلا', 'متميزا', 'الحقل', 'السياسي', 'المغربي']"
112,حزب النذالة والتعمية مصيره مزلة التاريخ.,1,حزب النذالة والتعمية مصيره مزلة التاريخ,"['حزب', 'النذالة', 'والتعمية', 'مصيره', 'مزلة', 'التاريخ']"
113,ابن كيران نزل وامطار الخير ستنزل عيد واي عيد!هنبئا للمغاربة وشكرا لحزب العدالة والتنمية كنتم رائعين,1,ابن كيران نزل وامطار الخير ستنزل عيد واي عيد هنبئا للمغاربة وشكرا لحزب العدالة والتنمية كنتم رائعين,"['ابن', 'كيران', 'نزل', 'وامطار', 'الخير', 'ستنزل', 'عيد', 'واي', 'عيد', 'هنبئا', 'للمغاربة', 'وشكرا', 'لحزب', 'العدالة', 'والتنمية', 'كنتم', 'رائعين']"
114,"تحية ولحزبكم. والسلام عليكم""",1,تحية ولحزبكم والسلام عليكم,"['تحية', 'ولحزبكم', 'والسلام', 'عليكم']"
115,وقبل شيء أحبكم الله وأدعوا ولملكنا وكافة الشعب المغربي بكل الخير كلما دعوت لنفسي أهلي,1,وقبل شيء أحبكم الله وأدعوا ولملكنا وكافة الشعب المغربي بكل الخير كلما دعوت لنفسي أهلي,"['وقبل', 'شيء', 'أحبكم', 'الله', 'وأدعوا', 'ولملكنا', 'وكافة', 'الشعب', 'المغربي', 'بكل', 'الخير', 'كلما', 'دعوت', 'لنفسي', 'أهلي']"
116,شكرًا للكاتب,1,شكر للكاتب,"['شكر', 'للكاتب']"
